player	year	month	hours
ADrone	2020	March    	53
asaelr	2019	July     	70
Bot-Fiora	2021	February 	46
Dr_Kakashi	2020	August   	134
eliclax	2021	June     	92
Fireheart	2019	November 	126
Floriman	2019	October  	52
florrat2	2021	June     	55
IAMJEFF	2019	December 	99
indego	2021	March    	234
kimbifille	2020	October  	157
Kyle	2019	September	84
Lanvin	2021	June     	248
Lel0uch	2021	March    	245
Libster	2019	January  	66
MarkusKahlsen	2021	March    	79
melwen	2021	May      	191
micerang	2019	July     	85
nitawa	2021	January  	71
Nitrate	2021	January  	44
Pablo-	2020	July     	79
padi	2020	June     	56
pianoblook	2020	August   	125
piper	2020	July     	89
RaKXeR	2021	June     	38
rinka	2021	May      	18
scharkbite	2020	August   	94
sin_faith	2020	April    	104
sjdrodge	2021	June     	102
timotree	2020	August   	102
Valetta6789	2019	November 	80
VerySloppyTwo	2021	March    	81
Zamiel	2019	January  	88
