Player	Ratio	Alice's wins	Alice's games	!Alice's wins	!Alice's games
florrat2	1.24	145	593	292	1481
Libster	1.18	218	926	512	2567
eliclax	1.16	128	520	300	1411
kimbifille	1.13	363	1456	857	3881
padi	1.13	50	252	146	832
Bot-Fiora	1.13	67	364	175	1076
Kyle	1.11	395	1968	999	5512
asaelr	1.1	370	1597	874	4152
MarkusKahlsen	1.1	351	1223	846	3229
scharkbite	1.1	369	1902	921	5225
RaKXeR	1.09	121	548	299	1480
Lel0uch	1.07	342	1666	910	4744
Fireheart	1.06	219	1171	538	3063
Lanvin	1.04	584	2701	1579	7615
Zamiel	1.04	318	1919	837	5233
Floriman	1.03	237	1076	654	3057
melwen	1.03	430	2207	1231	6528
sjdrodge	1.03	398	1391	983	3532
micerang	1.03	297	1241	791	3402
pianoblook	1.01	308	1312	803	3455
VerySloppyTwo	1.01	67	417	189	1192
Pablo-	1.01	204	870	579	2504
sin_faith	1.0	131	830	394	2502
Dr_Kakashi	0.98	286	1734	744	4438
indego	0.98	164	1202	460	3306
nitawa	0.98	120	577	338	1592
piper	0.96	165	627	461	1676
timotree	0.94	168	703	478	1885
Valetta6789	0.92	186	860	485	2072
Nitrate	0.9	90	410	260	1066
ADrone	0.89	106	437	301	1103
IAMJEFF	0.86	182	1117	548	2888
rinka	0.81	12	82	28	155
