Player	Ratio	Num wins going first	Num games going first	Num wins overall	Num games overall
MarkusKahlsen	1.08	258	1024	602	2585
Fireheart	1.07	505	2694	702	4011
kimbifille	1.05	570	2651	793	3876
Lanvin	1.03	485	2664	1092	6185
IAMJEFF	1.02	431	2350	566	3146
padi	1.01	76	415	193	1062
Lel0uch	0.99	431	2291	917	4829
scharkbite	0.99	574	3137	1189	6436
melwen	0.98	510	2916	1288	7217
Dr_Kakashi	0.97	487	3060	895	5432
RaKXeR	0.96	125	655	349	1757
Libster	0.96	317	1616	678	3309
VerySloppyTwo	0.95	104	723	228	1512
sjdrodge	0.95	387	1527	1187	4427
Valetta6789	0.94	400	1904	593	2652
asaelr	0.94	467	2305	1035	4805
Floriman	0.94	431	2235	757	3679
micerang	0.94	251	1167	894	3890
indego	0.93	234	1889	520	3918
Kyle	0.93	516	3181	1042	5988
sin_faith	0.93	145	1016	389	2547
pianoblook	0.92	397	2166	745	3736
piper	0.88	270	1257	466	1917
florrat2	0.86	187	1044	422	2024
ADrone	0.85	118	586	274	1159
timotree	0.79	125	734	421	1963
Bot-Fiora	0.74	8	61	130	730
Zamiel	0.74	576	4840	1108	6919
Nitrate	0.67	39	267	210	969
