Username	Rank	Seek	Hide
Valetta6789	2.6	kimbifille (69%), Lanvin (32%), Fireheart (29%)	IAMJEFF (26%), Livia (23%)
florrat2	2.0	Libster (19%)	Zamiel (17%)
MarkusKahlsen	2.0	Lel0uch (17%)	none
piper	2.0	kimbifille (43%)	bcannon (34%)
lilyxy	2.0	none	none
rat	2.0	none	none
kimbifille	1.5	Valetta6789 (69%), piper (43%), IAMJEFF (40%)	kooolant (24%), Dr_Kakashi (11%)
Lanvin	1.5	Valetta6789 (32%)	Durandal (17%)
HelanaAshryvr	1.33	squirrel1988 (20%), Durandal (18%)	aquarelle (15%)
ADrone	1.0	pianoblook (31%)	none
Aluap	1.0	antitelharsic (14%)	none
antitelharsic	1.0	Aluap (14%)	none
avanderwalde	1.0	rkass (39%)	none
derekcheah	1.0	Fey (33%)	Lel0uch (15%)
Fey	1.0	derekcheah (33%)	none
Libster	1.0	florrat2 (19%)	none
nitawa	1.0	Pablo- (27%)	none
Nitrate	1.0	none	none
Pablo-	1.0	nitawa (27%)	none
pianoblook	1.0	ADrone (31%)	none
rkass	1.0	avanderwalde (39%)	none
TheDaniMan	1.0	lilyxy (21%), wshin0104 (15%)	indego (10%), FrozenWinters (8%)
nukelauncher	1.0	none	none
Pantheia	1.0	none	none
hailey	1.0	none	none
ATrueZen	1.0	none	none
squidgetx	1.0	none	none
null	1.0	none	none
Kakashi	1.0	none	none
solarstar92	1.0	none	none
wshin0104	1.0	none	none
asaelr	0.5	Fireheart (28%)	IAMJEFF (25%)
boba	0.5	Lel0uch (26%)	Durandal (7%)
Dr_Kakashi	0.5	IAMJEFF (26%), invarse (20%)	Livia (19%), kimbifille (11%)
squirrel1988	0.5	HelanaAshryvr (20%)	Durandal (9%)
IAMJEFF	0.14	kimbifille (40%), Valetta6789 (26%), Dr_Kakashi (26%), Kakashi (26%)	asaelr (25%), Livia (20%), Fireheart (15%), Zamiel (12%)
Anax	0	none	none
Animex52	0	none	none
anser	0	nukelauncher (34%)	william65537 (14%)
Asddsa76	0	none	none
BlueNovember	0	Pantheia (31%)	Crux (24%), SpaceAnemone (18%)
bjnh	0	none	none
Bonja97	0	none	none
Bot-Fiora	0	none	none
CaitlinSmith	0	none	none
catula	0	none	none
ChristopheAF	0	none	none
colton	0	hailey (34%)	none
corys	0	none	none
Cynas	0	none	none
Damian000	0	none	none
DarthGandalf	0	none	none
Daryl	0	none	none
Denchulitas	0	none	none
Div	0	none	none
dj.narayanan	0	ATrueZen (17%)	none
dmigor3	0	none	none
dobi	0	none	none
duckington	0	none	none
duckless	0	none	none
duckmammal	0	none	none
duckmedic	0	none	none
eliclax	0	none	none
emilyzhao	0	squidgetx (23%)	none
FerKeth	0	none	none
fishcat	0	null (22%)	none
hakha3	0	none	none
HariKrishnan	0	none	none
Instantiation	0	none	none
invarse	0.0	Dr_Kakashi (20%)	Livia (18%)
IsabeltheCat	0	none	none
jack67889	0	none	none
Jake_Stiles	0	solarstar92 (17%)	none
jeff10	0	none	none
katian	0	none	none
Kernel	0	none	none
kopen	0	none	none
ksfortson	0	none	none
Lel0uch	0.0	boba (26%), MarkusKahlsen (17%), derekcheah (15%)	inde (9%), indego (9%)
MangoPie	0	none	none
MasN	0	none	none
MathNoob	0	none	none
melwen	0	none	none
methmatics	0	none	none
micerang	0	none	none
newduke	0	none	none
nkkarpov	0	none	none
orucsoraihc	0	none	none
padi	0	none	none
Pimak	0	none	none
possum	0	none	none
qqqq	0	none	none
qwertyelmer	0	none	none
rachyrules	0	none	none
RaKXeR	0	none	none
Razvogor	0	none	none
rs1	0	none	none
rz	0	none	none
sankala	0	none	none
scharkbite	0	none	none
sephiroth	0	none	none
sin_faith	0	none	none
sjdrodge	0	none	none
skyblueexo	0	none	none
Smandon	0	none	none
Spieler42	0	none	none
StKildaFan	0	none	none
Sucubis	0	none	none
swineherd	0	none	none
Syrah	0	none	none
TimeHoodie	0	none	none
timotree	0	none	none
vEnhance	0	none	none
VerySloppyTwo	0	none	none
will.i.am	0	none	none
willwin4sure	0	william65537 (15%)	none
Wittvector	0	none	none
wolfpack	0	none	none
wortel	0	none	none
wump	0	none	none
Zakisan	0	none	none
william65537	0.0	none	none
Fireheart	-0.17	Valetta6789 (29%), asaelr (28%), Livia (17%)	IAMJEFF (15%), Kyle (15%), Zamiel (13%)
Durandal	-0.5	HelanaAshryvr (18%), Lanvin (17%)	squirrel1988 (9%), boba (7%)
Livia	-0.67	Valetta6789 (23%), IAMJEFF (20%), Dr_Kakashi (19%)	invarse (18%), Fireheart (18%), Floriman (14%)
aquarelle	-1.0	HelanaAshryvr (15%)	none
cockdestroyer	-1.0	Nitrate (43%)	Nitrate2 (43%)
Nitrate2	-1.0	Nitrate (44%)	cockdestroyer (43%)
Crux	-1.0	none	none
kooolant	-1.0	none	none
inde	-1.0	none	none
bcannon	-1.0	none	none
indego	-1.5	TheDaniMan (10%)	Lel0uch (9%)
Zamiel	-1.75	florrat2 (17%), rat (17%), Fireheart (13%)	IAMJEFF (12%), Cory (10%), NoMercy (7%)
Kyle	-2.0	Fireheart (15%)	none
SpaceAnemone	-2.0	none	none
FrozenWinters	-2.0	none	none
Cory	-2.0	none	none
Floriman	-3.0	Livia (14%)	none
NoMercy	-3.0	Zamiel (7%)	none
