Username	Type	W/L(%)	W(%)	L(%)	W(#)	L(#)	W/L(%, 2p)	W(%, 2p)	L(%, 2p)	W(#, 2p)	L(#, 2p)	W/L(%, 3p)	W(%, 3p+)	L(%, 3p+)	W(#, 3p+)	L(#, 3p+)
ADrone	Totals	30.94	23.63	76.37	465	1503	30.1	23.14	76.86	202	671	31.61	24.02	75.98	263	832
ADrone	Easy	37.71	27.38	72.62	365	968	36.67	26.83	73.17	154	420	38.5	27.8	72.2	211	548
ADrone	Null	32.03	24.26	75.74	41	128	24.24	19.51	80.49	24	99	58.62	36.96	63.04	17	29
ADrone	Single dark	14.86	12.94	87.06	59	397	16.0	13.79	86.21	24	150	14.17	12.41	87.59	35	247
ADrone	Double dark	0.0	0.0	100.0	0	10	0.0	0.0	100.0	0	2	0.0	0.0	100.0	0	8
Aluap	Totals	19.08	16.02	83.98	240	1258	14.48	12.65	87.35	73	504	22.15	18.13	81.87	167	754
Aluap	Easy	22.16	18.14	81.86	222	1002	16.43	14.11	85.89	69	420	26.29	20.82	79.18	153	582
Aluap	Null	10.77	9.72	90.28	7	65	2.86	2.78	97.22	1	35	20.0	16.67	83.33	6	30
Aluap	Single dark	5.82	5.5	94.5	11	189	6.38	6.0	94.0	3	47	5.63	5.33	94.67	8	142
Aluap	Double dark	0.0	0.0	100.0	0	2	0.0	0.0	100.0	0	2	0	0	0	0	0
Anax	Totals	20.65	17.11	82.89	64	310	25.81	20.51	79.49	24	93	18.43	15.56	84.44	40	217
Anax	Easy	31.52	23.97	76.03	58	184	25.81	20.51	79.49	24	93	37.36	27.2	72.8	34	91
Anax	Null	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anax	Single dark	4.76	4.55	95.45	6	126	0	0	0	0	0	4.76	4.55	95.45	6	126
Anax	Double dark	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Animex52	Totals	19.16	16.08	83.92	205	1070	18.99	15.96	84.04	30	158	19.19	16.1	83.9	175	912
Animex52	Easy	25.82	20.52	79.48	188	728	28.57	22.22	77.78	24	84	25.47	20.3	79.7	164	644
Animex52	Null	0.0	0.0	100.0	0	21	0.0	0.0	100.0	0	11	0.0	0.0	100.0	0	10
Animex52	Single dark	5.36	5.09	94.91	17	317	9.52	8.7	91.3	6	63	4.33	4.15	95.85	11	254
Animex52	Double dark	0.0	0.0	100.0	0	4	0	0	0	0	0	0.0	0.0	100.0	0	4
anser	Totals	18.61	15.69	84.31	374	2010	13.77	12.1	87.9	210	1525	33.81	25.27	74.73	164	485
anser	Easy	18.9	15.9	84.1	309	1635	13.19	11.65	88.35	165	1251	37.5	27.27	72.73	144	384
anser	Null	30.77	23.53	76.47	16	52	20.83	17.24	82.76	10	48	150.0	60.0	40.0	6	4
anser	Single dark	17.44	14.85	85.15	49	281	18.04	15.28	84.72	35	194	16.09	13.86	86.14	14	87
anser	Double dark	0.0	0.0	100.0	0	42	0.0	0.0	100.0	0	32	0.0	0.0	100.0	0	10
antitelharsic	Totals	20.71	17.16	82.84	373	1801	17.21	14.68	85.32	106	616	22.53	18.39	81.61	267	1185
antitelharsic	Easy	23.6	19.09	80.91	336	1424	19.14	16.07	83.93	98	512	26.1	20.7	79.3	238	912
antitelharsic	Null	17.91	15.19	84.81	12	67	11.9	10.64	89.36	5	42	28.0	21.88	78.12	7	25
antitelharsic	Single dark	8.31	7.67	92.33	25	301	4.92	4.69	95.31	3	61	9.17	8.4	91.6	22	240
antitelharsic	Double dark	0.0	0.0	100.0	0	9	0.0	0.0	100.0	0	1	0.0	0.0	100.0	0	8
aquarelle	Totals	26.18	20.75	79.25	177	676	27.51	21.57	78.43	85	309	25.07	20.04	79.96	92	367
