Username	Type	W(%)	L(%)	W(#)	L(#)	W(%, 2p)	L(%, 2p)	W(#, 2p)	L(#, 2p)	W(%, 3p+)	L(%, 3p+)	W(#, 3p+)	L(#, 3p+)
jack67889	Easy	25.88	74.12	286	819	30.77	69.23	16	36	25.64	74.36	270	783
jack67889	Null	15.25	84.75	9	50	100.0	0.0	1	0	13.79	86.21	8	50
jack67889	Single dark	10.36	89.64	55	476	9.52	90.48	2	19	10.39	89.61	53	457
jack67889	Double dark	0.0	100.0	0	10	0	0	0	0	0.0	100.0	0	10
Jake_Stiles	Totals	15.62	84.38	639	3452	14.7	85.3	372	2159	17.12	82.88	267	1293
Jake_Stiles	Easy	20.61	79.39	547	2107	19.84	80.16	319	1289	21.8	78.2	228	818
Jake_Stiles	Null	7.14	92.86	7	91	7.41	92.59	4	50	6.82	93.18	3	41
Jake_Stiles	Single dark	6.45	93.55	85	1233	5.7	94.3	49	811	7.86	92.14	36	422
Jake_Stiles	Double dark	0.0	100.0	0	21	0.0	100.0	0	9	0.0	100.0	0	12
jeff10	Totals	13.77	86.23	197	1234	12.36	87.64	32	227	14.08	85.92	165	1007
jeff10	Easy	17.51	82.49	156	735	18.71	81.29	29	126	17.26	82.74	127	609
jeff10	Null	16.67	83.33	8	40	0.0	100.0	0	6	19.05	80.95	8	34
jeff10	Single dark	7.67	92.33	33	397	6.98	93.02	3	40	7.75	92.25	30	357
jeff10	Double dark	0.0	100.0	0	62	0.0	100.0	0	55	0.0	100.0	0	7
katian	Totals	15.46	84.54	163	891	17.33	82.67	39	186	14.96	85.04	124	705
katian	Easy	18.51	81.49	132	581	21.43	78.57	30	110	17.8	82.2	102	471
katian	Null	13.04	86.96	6	40	9.09	90.91	1	10	14.29	85.71	5	30
katian	Single dark	8.53	91.47	25	268	10.81	89.19	8	66	7.76	92.24	17	202
katian	Double dark	0.0	100.0	0	2	0	0	0	0	0.0	100.0	0	2
Kernel	Totals	19.6	80.4	79	324	15.0	85.0	6	34	20.11	79.89	73	290
Kernel	Easy	23.03	76.97	76	254	20.0	80.0	6	24	23.33	76.67	70	230
Kernel	Null	0	0	0	0	0	0	0	0	0	0	0	0
Kernel	Single dark	4.11	95.89	3	70	0.0	100.0	0	10	4.76	95.24	3	60
Kernel	Double dark	0	0	0	0	0	0	0	0	0	0	0	0
kopen	Totals	17.32	82.68	274	1308	19.64	80.36	66	270	16.69	83.31	208	1038
kopen	Easy	22.39	77.61	217	752	25.63	74.37	51	148	21.56	78.44	166	604
kopen	Null	6.56	93.44	4	57	8.33	91.67	1	11	6.12	93.88	3	46
kopen	Single dark	9.52	90.48	52	494	11.29	88.71	14	110	9.0	91.0	38	384
kopen	Double dark	16.67	83.33	1	5	0.0	100.0	0	1	20.0	80.0	1	4
ksfortson	Totals	18.76	81.24	240	1039	24.64	75.36	17	52	18.43	81.57	223	987
ksfortson	Easy	22.19	77.81	229	803	26.15	73.85	17	48	21.92	78.08	212	755
ksfortson	Null	5.88	94.12	1	16	0	0	0	0	5.88	94.12	1	16
ksfortson	Single dark	4.37	95.63	10	219	0.0	100.0	0	4	4.44	95.56	10	215
ksfortson	Double dark	0.0	100.0	0	1	0	0	0	0	0.0	100.0	0	1
Kyle	Totals	16.89	83.11	1175	5780	16.54	83.46	212	1070	16.98	83.02	963	4710
Kyle	Easy	22.05	77.95	955	3376	23.92	76.08	166	528	21.69	78.31	789	2848
Kyle	Null	12.62	87.38	40	277	10.37	89.63	14	121	14.29	85.71	26	156
Kyle	Single dark	8.11	91.89	180	2040	7.39	92.61	32	401	8.28	91.72	148	1639
Kyle	Double dark	0.0	100.0	0	87	0.0	100.0	0	20	0.0	100.0	0	67
Lanvin	Totals	15.09	84.91	717	4033	18.99	81.01	154	657	14.29	85.71	563	3376
Lanvin	Easy	19.25	80.75	563	2362	27.32	72.68	115	306	17.89	82.11	448	2056
Lanvin	Null	13.79	86.21	16	100	26.67	73.33	4	11	11.88	88.12	12	89
Lanvin	Single dark	8.1	91.9	136	1543	9.19	90.81	34	336	7.79	92.21	102	1207
Lanvin	Double dark	6.67	93.33	2	28	20.0	80.0	1	4	4.0	96.0	1	24
Lel0uch	Totals	15.72	84.28	966	5180	12.31	87.69	292	2080	17.86	82.14	674	3100
Lel0uch	Easy	23.09	76.91	646	2152	22.85	77.15	149	503	23.16	76.84	497	1649
Lel0uch	Null	23.71	76.29	23	74	12.5	87.5	1	7	24.72	75.28	22	67
Lel0uch	Single dark	9.62	90.38	287	2695	8.9	91.1	133	1361	10.35	89.65	154	1334
Lel0uch	Double dark	3.72	96.28	10	259	4.13	95.87	9	209	1.96	98.04	1	50
Libster	Totals	6.02	93.98	1297	20265	4.53	95.47	341	7186	6.81	93.19	956	13079
Libster	Easy	8.23	91.77	1090	12151	5.47	94.53	285	4925	10.02	89.98	805	7226
Libster	Null	22.45	77.55	11	38	12.5	87.5	1	7	24.39	75.61	10	31
Libster	Single dark	2.42	97.58	192	7733	2.39	97.61	54	2210	2.44	97.56	138	5523
Libster	Double dark	1.15	98.85	4	343	2.22	97.78	1	44	0.99	99.01	3	299
Livia	Totals	16.62	83.38	572	2869	15.54	84.46	250	1359	17.58	82.42	322	1510
Livia	Easy	22.09	77.91	437	1541	20.97	79.03	182	686	22.97	77.03	255	855
Livia	Null	9.56	90.44	24	227	9.77	90.23	13	120	9.32	90.68	11	107
Livia	Single dark	9.72	90.28	110	1022	9.64	90.36	54	506	9.79	90.21	56	516
Livia	Double dark	1.25	98.75	1	79	2.08	97.92	1	47	0.0	100.0	0	32
MangoPie	Totals	18.16	81.84	241	1086	10.0	90.0	3	27	18.35	81.65	238	1059
MangoPie	Easy	21.86	78.14	179	640	7.14	92.86	1	13	22.11	77.89	178	627
MangoPie	Null	13.21	86.79	7	46	0.0	100.0	0	9	15.91	84.09	7	37
MangoPie	Single dark	12.59	87.41	55	382	28.57	71.43	2	5	12.33	87.67	53	377
MangoPie	Double dark	0.0	100.0	0	18	0	0	0	0	0.0	100.0	0	18
MarkusKahlsen	Totals	22.24	77.76	619	2164	20.63	79.37	118	454	22.66	77.34	501	1710
MarkusKahlsen	Easy	29.17	70.83	449	1090	36.2	63.8	59	104	28.34	71.66	390	986
MarkusKahlsen	Null	32.86	67.14	23	47	100.0	0.0	2	0	30.88	69.12	21	47
MarkusKahlsen	Single dark	12.78	87.22	144	983	14.52	85.48	54	318	11.92	88.08	90	665
MarkusKahlsen	Double dark	6.38	93.62	3	44	8.57	91.43	3	32	0.0	100.0	0	12
MasN	Totals	20.46	79.54	116	451	38.24	61.76	13	21	19.32	80.68	103	430
MasN	Easy	22.43	77.57	107	370	44.44	55.56	12	15	21.11	78.89	95	355
MasN	Null	0.0	100.0	0	1	0	0	0	0	0.0	100.0	0	1
MasN	Single dark	10.11	89.89	9	80	14.29	85.71	1	6	9.76	90.24	8	74
MasN	Double dark	0	0	0	0	0	0	0	0	0	0	0	0
MathNoob	Totals	21.26	78.74	37	137	15.0	85.0	6	34	23.13	76.87	31	103
MathNoob	Easy	22.29	77.71	37	129	15.79	84.21	6	32	24.22	75.78	31	97
MathNoob	Null	0	0	0	0	0	0	0	0	0	0	0	0
MathNoob	Single dark	0.0	100.0	0	8	0.0	100.0	0	2	0.0	100.0	0	6
MathNoob	Double dark	0	0	0	0	0	0	0	0	0	0	0	0
melwen	Totals	16.78	83.22	1147	5688	16.08	83.92	114	595	16.86	83.14	1033	5093
melwen	Easy	20.69	79.31	866	3320	17.94	82.06	103	471	21.12	78.88	763	2849
melwen	Null	23.6	76.4	38	123	0.0	100.0	0	4	24.2	75.8	38	119
melwen	Single dark	9.99	90.01	239	2154	8.4	91.6	11	120	10.08	89.92	228	2034
melwen	Double dark	4.21	95.79	4	91	0	0	0	0	4.21	95.79	4	91
methmatics	Totals	16.48	83.52	148	750	17.27	82.73	24	115	16.34	83.66	124	635
methmatics	Easy	18.39	81.61	144	639	18.55	81.45	23	101	18.36	81.64	121	538
methmatics	Null	11.11	88.89	1	8	20.0	80.0	1	4	0.0	100.0	0	4
methmatics	Single dark	2.91	97.09	3	100	0.0	100.0	0	10	3.23	96.77	3	90
methmatics	Double dark	0.0	100.0	0	3	0	0	0	0	0.0	100.0	0	3
micerang	Totals	23.37	76.63	999	3276	29.42	70.58	143	343	22.59	77.41	856	2933
micerang	Easy	28.26	71.74	848	2153	35.89	64.11	117	209	27.33	72.67	731	1944
micerang	Null	13.57	86.43	19	121	17.07	82.93	7	34	12.12	87.88	12	87
micerang	Single dark	12.17	87.83	132	953	16.67	83.33	19	95	11.64	88.36	113	858
micerang	Double dark	0.0	100.0	0	49	0.0	100.0	0	5	0.0	100.0	0	44
newduke	Totals	11.17	88.83	293	2330	6.6	93.4	20	283	11.77	88.23	273	2047
newduke	Easy	13.3	86.7	238	1552	6.36	93.64	15	221	14.35	85.65	223	1331
newduke	Null	12.4	87.6	15	106	12.5	87.5	2	14	12.38	87.62	13	92
newduke	Single dark	5.65	94.35	40	668	6.12	93.88	3	46	5.61	94.39	37	622
newduke	Double dark	0.0	100.0	0	4	0.0	100.0	0	2	0.0	100.0	0	2
nitawa	Totals	17.49	82.51	331	1562	16.65	83.35	157	786	18.32	81.68	174	776
nitawa	Easy	21.08	78.92	250	936	18.52	81.48	105	462	23.42	76.58	145	474
nitawa	Null	9.46	90.54	7	67	8.89	91.11	4	41	10.34	89.66	3	26
nitawa	Single dark	11.66	88.34	73	553	14.51	85.49	47	277	8.61	91.39	26	276
nitawa	Double dark	14.29	85.71	1	6	14.29	85.71	1	6	0	0	0	0
Nitrate	Totals	20.98	79.02	158	595	17.82	82.18	18	83	21.47	78.53	140	512
Nitrate	Easy	25.58	74.42	143	416	19.48	80.52	15	62	26.56	73.44	128	354
Nitrate	Null	0.0	100.0	0	4	0.0	100.0	0	3	0.0	100.0	0	1
Nitrate	Single dark	7.94	92.06	15	174	14.29	85.71	3	18	7.14	92.86	12	156
Nitrate	Double dark	0.0	100.0	0	1	0	0	0	0	0.0	100.0	0	1
Nitrate2	Totals	21.1	78.9	426	1593	28.44	71.56	62	156	20.21	79.79	364	1437
Nitrate2	Easy	25.11	74.89	351	1047	33.9	66.1	40	78	24.3	75.7	311	969
Nitrate2	Null	24.0	76.0	12	38	26.67	73.33	4	11	22.86	77.14	8	27
Nitrate2	Single dark	11.15	88.85	63	502	21.18	78.82	18	67	9.38	90.62	45	435
Nitrate2	Double dark	0.0	100.0	0	6	0	0	0	0	0.0	100.0	0	6
nkkarpov	Totals	16.99	83.01	121	591	21.43	78.57	15	55	16.51	83.49	106	536
nkkarpov	Easy	22.57	77.43	114	391	22.73	77.27	15	51	22.55	77.45	99	340
nkkarpov	Null	0.0	100.0	0	5	0	0	0	0	0.0	100.0	0	5
nkkarpov	Single dark	3.74	96.26	7	180	0.0	100.0	0	4	3.83	96.17	7	176
nkkarpov	Double dark	0.0	100.0	0	15	0	0	0	0	0.0	100.0	0	15
NoMercy	Totals	10.17	89.83	385	3400	5.85	94.15	12	193	10.42	89.58	373	3207
NoMercy	Easy	14.4	85.6	337	2003	9.43	90.57	10	96	14.64	85.36	327	1907
NoMercy	Null	14.29	85.71	4	24	0.0	100.0	0	1	14.81	85.19	4	23
NoMercy	Single dark	3.25	96.75	40	1189	1.85	98.15	1	53	3.32	96.68	39	1136
NoMercy	Double dark	2.13	97.87	4	184	2.27	97.73	1	43	2.08	97.92	3	141
orucsoraihc	Totals	21.24	78.76	264	979	22.39	77.61	60	208	20.92	79.08	204	771
orucsoraihc	Easy	25.38	74.62	231	679	28.34	71.66	53	134	24.62	75.38	178	545
orucsoraihc	Null	16.67	83.33	4	20	0	0	0	0	16.67	83.33	4	20
orucsoraihc	Single dark	9.79	90.21	28	258	10.0	90.0	6	54	9.73	90.27	22	204
orucsoraihc	Double dark	4.35	95.65	1	22	4.76	95.24	1	20	0.0	100.0	0	2
Pablo-	Totals	20.78	79.22	648	2471	21.17	78.83	174	648	20.64	79.36	474	1823
Pablo-	Easy	26.25	73.75	516	1450	28.03	71.97	118	303	25.76	74.24	398	1147
Pablo-	Null	12.5	87.5	12	84	9.52	90.48	4	38	14.81	85.19	8	46
Pablo-	Single dark	11.56	88.44	119	910	14.41	85.59	51	303	10.07	89.93	68	607
Pablo-	Double dark	3.57	96.43	1	27	20.0	80.0	1	4	0.0	100.0	0	23
padi	Totals	14.23	85.77	213	1284	20.45	79.55	27	105	13.63	86.37	186	1179
padi	Easy	15.91	84.09	187	988	25.0	75.0	20	60	15.25	84.75	167	928
padi	Null	6.06	93.94	2	31	10.0	90.0	1	9	4.35	95.65	1	22
padi	Single dark	9.56	90.44	24	227	14.29	85.71	6	36	8.61	91.39	18	191
padi	Double dark	0.0	100.0	0	38	0	0	0	0	0.0	100.0	0	38
pianoblook	Totals	19.57	80.43	791	3250	22.43	77.57	194	671	18.8	81.2	597	2579
pianoblook	Easy	24.22	75.78	584	1827	26.39	73.61	147	410	23.57	76.43	437	1417
pianoblook	Null	22.48	77.52	58	200	17.65	82.35	21	98	26.62	73.38	37	102
pianoblook	Single dark	11.92	88.08	138	1020	15.12	84.88	26	146	11.36	88.64	112	874
pianoblook	Double dark	5.14	94.86	11	203	0.0	100.0	0	17	5.58	94.42	11	186
Pimak	Totals	17.37	82.63	99	471	6.82	93.18	6	82	19.29	80.71	93	389
Pimak	Easy	19.87	80.13	93	375	7.5	92.5	6	74	22.42	77.58	87	301
Pimak	Null	0.0	100.0	0	2	0	0	0	0	0.0	100.0	0	2
Pimak	Single dark	6.0	94.0	6	94	0.0	100.0	0	8	6.52	93.48	6	86
Pimak	Double dark	0	0	0	0	0	0	0	0	0	0	0	0
piper	Totals	24.62	75.38	615	1883	26.18	73.82	200	564	23.93	76.07	415	1319
piper	Easy	29.7	70.3	455	1077	30.86	69.14	158	354	29.12	70.88	297	723
piper	Null	29.14	70.86	51	124	20.65	79.35	19	73	38.55	61.45	32	51
piper	Single dark	15.95	84.05	100	527	15.65	84.35	23	124	16.04	83.96	77	403
piper	Double dark	5.49	94.51	9	155	0.0	100.0	0	13	5.96	94.04	9	142
possum	Totals	20.11	79.89	188	747	13.95	86.05	18	111	21.09	78.91	170	636
possum	Easy	25.22	74.78	175	519	15.38	84.62	16	88	26.95	73.05	159	431
possum	Null	0.0	100.0	0	3	0	0	0	0	0.0	100.0	0	3
possum	Single dark	5.56	94.44	13	221	8.33	91.67	2	22	5.24	94.76	11	199
possum	Double dark	0.0	100.0	0	4	0.0	100.0	0	1	0.0	100.0	0	3
qqqq	Totals	20.33	79.67	294	1152	23.32	76.68	66	217	19.6	80.4	228	935
qqqq	Easy	26.05	73.95	243	690	25.99	74.01	59	168	26.06	73.94	184	522
qqqq	Null	11.11	88.89	1	8	0	0	0	0	11.11	88.89	1	8
qqqq	Single dark	12.04	87.96	49	358	15.22	84.78	7	39	11.63	88.37	42	319
qqqq	Double dark	1.03	98.97	1	96	0.0	100.0	0	10	1.15	98.85	1	86
qwertyelmer	Totals	14.97	85.03	115	653	8.93	91.07	26	265	18.66	81.34	89	388
qwertyelmer	Easy	14.87	85.13	109	624	8.48	91.52	24	259	18.89	81.11	85	365
qwertyelmer	Null	0	0	0	0	0	0	0	0	0	0	0	0
qwertyelmer	Single dark	17.14	82.86	6	29	25.0	75.0	2	6	14.81	85.19	4	23
qwertyelmer	Double dark	0	0	0	0	0	0	0	0	0	0	0	0
rachyrules	Totals	18.96	81.04	374	1599	16.28	83.72	162	833	21.68	78.32	212	766
rachyrules	Easy	21.53	78.47	334	1217	17.11	82.89	148	717	27.11	72.89	186	500
rachyrules	Null	8.33	91.67	1	11	0.0	100.0	0	1	9.09	90.91	1	10
rachyrules	Single dark	9.56	90.44	39	369	10.85	89.15	14	115	8.96	91.04	25	254
rachyrules	Double dark	0.0	100.0	0	2	0	0	0	0	0.0	100.0	0	2
RaKXeR	Totals	7.54	92.46	541	6633	5.61	94.39	80	1346	8.02	91.98	461	5287
RaKXeR	Easy	9.68	90.32	482	4495	5.55	94.45	74	1260	11.2	88.8	408	3235
RaKXeR	Null	22.22	77.78	2	7	33.33	66.67	1	2	16.67	83.33	1	5
RaKXeR	Single dark	2.7	97.3	57	2054	5.62	94.38	5	84	2.57	97.43	52	1970
RaKXeR	Double dark	0.0	100.0	0	77	0	0	0	0	0.0	100.0	0	77
Razvogor	Totals	7.04	92.96	195	2574	1.94	98.06	9	456	8.07	91.93	186	2118
Razvogor	Easy	10.32	89.68	171	1486	2.0	98.0	9	441	13.42	86.58	162	1045
Razvogor	Null	12.5	87.5	2	14	0	0	0	0	12.5	87.5	2	14
Razvogor	Single dark	2.02	97.98	22	1069	0.0	100.0	0	10	2.04	97.96	22	1059
Razvogor	Double dark	0.0	100.0	0	5	0.0	100.0	0	5	0	0	0	0
rkass	Totals	23.82	76.18	408	1305	25.9	74.1	94	269	23.26	76.74	314	1036
rkass	Easy	28.91	71.09	255	627	20.59	79.41	28	108	30.43	69.57	227	519
rkass	Null	36.43	63.57	102	178	35.9	64.1	56	100	37.1	62.9	46	78
rkass	Single dark	9.32	90.68	51	496	14.08	85.92	10	61	8.61	91.39	41	435
rkass	Double dark	0.0	100.0	0	4	0	0	0	0	0.0	100.0	0	4
rs1	Totals	15.2	84.8	57	318	8.93	91.07	5	51	16.3	83.7	52	267
rs1	Easy	17.99	82.01	50	228	8.93	91.07	5	51	20.27	79.73	45	177
rs1	Null	15.79	84.21	3	16	0	0	0	0	15.79	84.21	3	16
rs1	Single dark	5.41	94.59	4	70	0	0	0	0	5.41	94.59	4	70
rs1	Double dark	0.0	100.0	0	4	0	0	0	0	0.0	100.0	0	4
rz	Totals	18.64	81.36	302	1318	16.05	83.95	13	68	18.78	81.22	289	1250
rz	Easy	22.36	77.64	256	889	20.0	80.0	5	20	22.41	77.59	251	869
rz	Null	25.0	75.0	9	27	0	0	0	0	25.0	75.0	9	27
rz	Single dark	8.55	91.45	37	396	14.29	85.71	8	48	7.69	92.31	29	348
rz	Double dark	0.0	100.0	0	6	0	0	0	0	0.0	100.0	0	6
sankala	Totals	10.54	89.46	161	1366	4.44	95.56	19	409	12.92	87.08	142	957
sankala	Easy	12.84	87.16	132	896	6.55	93.45	18	257	15.14	84.86	114	639
sankala	Null	0	0	0	0	0	0	0	0	0	0	0	0
sankala	Single dark	6.28	93.72	28	418	0.65	99.35	1	152	9.22	90.78	27	266
sankala	Double dark	1.89	98.11	1	52	0	0	0	0	1.89	98.11	1	52
scharkbite	Totals	17.85	82.15	1296	5963	18.78	81.22	166	718	17.73	82.27	1130	5245
scharkbite	Easy	22.53	77.47	1035	3558	23.77	76.23	130	417	22.37	77.63	905	3141
scharkbite	Null	12.67	87.33	28	193	7.32	92.68	3	38	13.89	86.11	25	155
scharkbite	Single dark	10.56	89.44	227	1922	12.65	87.35	32	221	10.28	89.72	195	1701
scharkbite	Double dark	2.03	97.97	6	290	2.33	97.67	1	42	1.98	98.02	5	248
sephiroth	Totals	16.16	83.84	648	3363	16.83	83.17	34	168	16.12	83.88	614	3195
sephiroth	Easy	19.69	80.31	516	2105	17.01	82.99	25	122	19.85	80.15	491	1983
sephiroth	Null	12.86	87.14	9	61	33.33	66.67	1	2	11.94	88.06	8	59
sephiroth	Single dark	9.64	90.36	123	1153	17.02	82.98	8	39	9.36	90.64	115	1114
sephiroth	Double dark	0.0	100.0	0	44	0.0	100.0	0	5	0.0	100.0	0	39
sin_faith	Totals	14.68	85.32	396	2302	15.32	84.68	34	188	14.62	85.38	362	2114
sin_faith	Easy	17.78	82.22	349	1614	18.52	81.48	30	132	17.71	82.29	319	1482
sin_faith	Null	11.4	88.6	13	101	7.69	92.31	2	24	12.5	87.5	11	77
sin_faith	Single dark	6.1	93.9	34	523	7.41	92.59	2	25	6.04	93.96	32	498
sin_faith	Double dark	0.0	100.0	0	64	0.0	100.0	0	7	0.0	100.0	0	57
sjdrodge	Totals	25.14	74.86	1129	3362	23.84	76.16	67	214	25.23	74.77	1062	3148
sjdrodge	Easy	28.4	71.6	1066	2688	30.54	69.46	62	141	28.27	71.73	1004	2547
