Username	Rank	Seek	Hide
kevincaseytdk1	5.0	none	none
wjomlex	5.0	none	none
NoMercy	4.0	Libster (33%), sjdrodge (31%)	efaust (23%), scharkbite (17%), Zamiel (16%)
piper	4.0	derekcheah (39%), kimbifille (39%)	pianoblook (36%), ADrone (33%), Dr_Kakashi (23%)
Zakisan	4.0	derekcheah (29%)	sephiroth (23%)
ricardodd	4.0	none	none
doctorabi	4.0	none	none
paulcd2000	4.0	none	none
fuckthiswebsite	4.0	none	none
Valetta6789	3.78	asaelr (39%), micerang (39%), Floriman (33%), scharkbite (31%), Fireheart (28%)	Romain672 (22%), Dr_Kakashi (19%), Jake_Stiles (18%), kopen (16%), Zamiel (13%)
jack67889	3.4	Pablo- (35%), Nitrate2 (34%), Nitrate (33%), nitawa (33%), Lel0uch (25%)	Wittvector (21%), catula (20%), Lanvin (19%), TimeHoodie (19%), Hoodie (19%)
Fey	3.33	sin_faith (47%), MarkusKahlsen (44%), sephiroth (36%), Sucubis (36%)	TimeHoodie (28%), Hoodie (28%), kimbifille (25%), Lel0uch (24%), derekcheah (20%)
MarkusKahlsen	3.33	plus (47%), Lel0uch (45%), Fey (44%), rachyrules (41%), melwen (33%)	robense (20%), Wittvector (18%), sephiroth (18%), inde (14%), indego (14%)
aquarelle	3.0	HelanaAshryvr (21%)	boba (18%)
Slonimsky	3.0	none	none
frosty104	3.0	none	none
open	3.0	none	none
axe_y	3.0	none	none
micerang	2.83	paulcd2000 (40%), Valetta6789 (39%), open (38%), efaust (37%), kopen (36%)	Fireheart (24%), Jake_Stiles (22%), DMoney (20%), Zamiel (18%), Razvogor (18%)
Pablo-	2.8	Nitrate (43%), Nitrate2 (42%), jack67889 (35%), asaelr (35%), TimeHoodie (32%)	TheDaniMan (21%), antitelharsic (20%), joelwool (17%), Bonja97 (17%), Lanvin (13%)
asaelr	2.78	Valetta6789 (39%), micerang (35%), Pablo- (35%), Hoodie (34%), Floriman (31%)	Lanvin (17%), sephiroth (17%), DMoney (16%), Jake_Stiles (16%), Zamiel (14%)
dobi	2.75	derekcheah (27%), TimeHoodie (24%), Hoodie (22%), Lel0uch (22%), Lanvin (20%)	melwen (18%), newduke (18%), HelanaAshryvr (18%), inde (15%), indego (14%)
Floriman	2.6	Valetta6789 (33%), micerang (32%), asaelr (31%), TimeHoodie (27%), scharkbite (26%)	DMoney (18%), indego (18%), pianoblook (17%), Zamiel (16%), lotem (15%)
Nitrate2	2.57	Pablo- (42%), jack67889 (34%), TimeHoodie (29%), TheDaniMan (27%), scharkbite (26%)	Nitrate (25%), nitawa (25%), melwen (24%), cockdestroyer (16%), XMIL (11%)
TimeHoodie	2.35	frosty104 (35%), Pablo- (32%), Nitrate2 (29%), MarkusKahlsen (29%), Fey (28%)	indego (15%), ChristopheAF (15%), kooolant (14%), newduke (13%), will.i.am (12%)
hakha3	2.0	Lanvin (25%)	Lel0uch (23%)
Nitrate	2.0	BlueNovember (25%)	none
rachyrules	2.0	MarkusKahlsen (41%)	none
rz	2.0	wump (31%), Wittvector (26%), ChristopheAF (24%)	Lanvin (17%), melwen (16%), indego (10%)
sjdrodge	2.0	wjomlex (41%), fuckthiswebsite (41%), paulcd2000 (36%), Libster (34%), efaust (34%)	Asddsa76 (26%), forgotmyacct (24%), Zamiel (22%), Kakashi (20%), Andrew_UK (20%)
StKildaFan	2.0	Lel0uch (32%)	none
JerryYang	2.0	none	none
Kowalski	2.0	none	none
Takis	2.0	none	none
ZeNertox	2.0	none	none
rat	2.0	none	none
e2	2.0	none	none
TheDaniMan	1.75	MarkusKahlsen (30%), Bonja97 (30%), Nitrate (27%), e2 (27%), Nitrate2 (27%)	indego (16%), doeo (16%), DrDrej (13%), newduke (12%), FrozenWinters (7%)
wump	1.75	Lanvin (31%), rz (31%)	ksfortson (20%), JackFrost (17%), duckmedic (12%)
plus	1.67	none	none
whensepoop	1.5	none	none
Hoodie	1.5	none	none
ADrone	1.25	kimbifille (39%), piper (33%)	fishcat (26%), pianoblook (21%), Huxley (16%)
Aluap	1.0	whensepoop (24%)	antitelharsic (21%)
anser	1.0	willwin4sure (56%)	vEnhance (48%), nukelauncher (43%)
avanderwalde	1.0	JerryYang (36%), TimeHoodie (28%), melwen (27%)	rkass (27%), kimbifille (20%), mattnabi (12%)
BlueNovember	1.0	Nitrate (25%), Crux (22%)	SpaceAnemone (20%), Pantheia (20%)
fishcat	1.0	ADrone (26%)	pianoblook (25%)
florrat2	1.0	Libster (32%)	Zamiel (21%), RaKXeR (17%)
MangoPie	1.0	Lel0uch (26%), Lanvin (19%), Wittvector (19%), VerySloppyTwo (17%)	melwen (17%), indego (13%), ChristopheAF (12%), newduke (7%)
sin_faith	1.0	Fey (47%), Hoodie (22%), TimeHoodie (22%), Lel0uch (18%), Lanvin (16%)	Dr_Kakashi (15%), sephiroth (14%), scharkbite (14%), indego (12%), Kyle (12%)
timotree	1.0	Kyle (24%), TimeHoodie (23%), Hoodie (23%)	newduke (19%), scharkbite (14%), melwen (12%)
Crux	1.0	none	none
xor	1.0	none	none
InfernoSnowman	1.0	none	none
Kowalski1337	1.0	none	none
squidgetx	1.0	none	none
torp	1.0	none	none
ntinta	1.0	none	none
room456	1.0	none	none
Darth_Calculus	1.0	none	none
charlesfire	1.0	none	none
mugsly	1.0	none	none
IAMJEFF	0.8	micerang (25%), scharkbite (25%), Dr_Kakashi (24%), Kakashi (24%), Romain672 (23%)	Fireheart (19%), Jake_Stiles (18%), kopen (17%), Libster (16%), Zamiel (13%)
Lel0uch	0.73	MarkusKahlsen (45%), doctorabi (34%), frosty104 (34%), StKildaFan (32%), ChristopheAF (30%)	VerySloppyTwo (13%), sephiroth (13%), jeff10 (11%), boba (11%), squirrel1988 (9%)
Dr_Kakashi	0.71	Libster (32%), asaelr (29%), Sucubis (26%), micerang (25%), IAMJEFF (24%)	kooolant (17%), sin_faith (15%), pianoblook (14%), DMoney (14%), Zamiel (9%)
efaust	0.67	none	none
bjnh	0.5	4head (19%), Lanvin (18%)	squirrel1988 (16%), HelanaAshryvr (13%)
kimbifille	0.4	piper (39%), ADrone (39%), pianoblook (32%), Floriman (26%), Fey (25%)	Dr_Kakashi (18%), melwen (16%), scharkbite (15%), DMoney (11%), Zamiel (10%)
scharkbite	0.31	Valetta6789 (31%), asaelr (29%), Nitrate (29%), micerang (28%), rat (27%)	sephiroth (14%), timotree (14%), Romain672 (13%), newduke (11%), will.i.am (9%)
Libster	0.29	sjdrodge (34%), NoMercy (33%), florrat2 (32%), Dr_Kakashi (32%), Kakashi (29%)	Razgovor (19%), Razvogor (18%), IAMJEFF (16%), RaKXeR (15%), Cory (14%)
Kakashi	0.2	none	none
Anax	0	none	none
Bonja97	0.0	TheDaniMan (30%), Slonimsky (21%), melwen (20%), sephiroth (20%)	derekcheah (18%), Pablo- (17%), joelwool (13%), will.i.am (10%)
Bot-Fiora	0	griff77 (21%)	none
CaitlinSmith	0	none	none
colton	0	Lanvin (14%)	none
corys	0	xor (37%)	none
Cynas	0	none	none
Damian000	0	none	none
DarthGandalf	0	none	none
Daryl	0	none	none
Denchulitas	0	sephiroth (24%)	none
derekcheah	0.0	piper (39%), Zakisan (29%), TimeHoodie (28%), dobi (27%), TheDaniMan (26%)	pianoblook (16%), scharkbite (15%), indego (12%), will.i.am (12%), newduke (8%)
Div	0	none	none
dj.narayanan	0	InfernoSnowman (17%)	a_small_emu (16%), ATrueZen (15%)
dmigor3	0	Kowalski (35%), Kowalski1337 (34%)	Feich (33%), Feich59 (33%)
duckington	0	none	none
duckless	0	none	none
duckmammal	0	Dr_Kakashi (20%)	none
Durandal	0	none	none
eliclax	0	none	none
emilyzhao	0	squidgetx (30%)	none
HariKrishnan	0	none	none
HelanaAshryvr	0.0	ricardodd (32%), aquarelle (20%), dobi (18%), Lel0uch (16%), Lanvin (16%)	melwen (14%), bjnh (13%), ChristopheAF (12%), FerKeth (12%), indego (11%)
Instantiation	0	none	none
invarse	0	Dr_Kakashi (17%)	none
Kernel	0	none	none
MasN	0	none	none
MathNoob	0	none	none
methmatics	0	room456 (8%)	none
nkkarpov	0	none	none
orucsoraihc	0	none	none
padi	0	scharkbite (22%), Dr_Kakashi (19%)	Kyle (15%)
Pimak	0	none	none
possum	0	none	none
qqqq	0	Zamiel (18%)	none
qwertyelmer	0	Darth_Calculus (30%)	kjin (23%)
rs1	0	none	none
sankala	0	none	none
Smandon	0	none	none
Spieler42	0	none	none
Syrah	0	mugsly (35%)	scepheo (34%)
willwin4sure	0.0	anser (56%)	vEnhance (42%)
wolfpack	0	none	none
wortel	0	Kakashi (28%)	none
4head	0.0	none	none
Krepps57	0.0	none	none
Lanvin	-0.26	kevincaseytdk1 (32%), wump (31%), ricardodd (29%), hakha3 (25%), MarkusKahlsen (25%)	ChristopheAF (12%), Onen (11%), sephiroth (11%), indego (10%), newduke (5%)
Sucubis	-0.38	Fey (36%), TimeHoodie (27%), Dr_Kakashi (26%), scharkbite (26%), micerang (25%)	Zamiel (22%), nitawa (22%), Fireheart (16%), Livia (12%), catula (9%)
Wittvector	-0.5	rz (26%), jack67889 (21%), TimeHoodie (20%), Hoodie (20%), MangoPie (19%)	melwen (13%), newduke (13%), Lanvin (12%), ChristopheAF (12%), indego (9%)
griff77	-0.5	none	none
melwen	-0.69	MarkusKahlsen (33%), Pablo- (28%), avanderwalde (27%), Takis (27%), ntinta (26%)	timotree (12%), squirrel1988 (10%), XMIL (8%), will.i.am (8%), newduke (7%)
Animex52	-1.0	catula (14%)	none
Asddsa76	-1.0	sjdrodge (26%)	Zamiel (20%), scharkbite (19%)
jeff10	-1.0	TimeHoodie (24%), melwen (17%), Lanvin (15%)	newduke (13%), Lel0uch (11%)
katian	-1.0	frosty104 (20%), Lel0uch (17%)	Krepps57 (12%), skyblueexo (10%), indego (10%)
ksfortson	-1.0	torp (25%)	wump (20%), griff77 (15%)
nitawa	-1.0	jack67889 (33%), Nitrate (25%), Nitrate2 (25%), Pablo- (25%)	XMIL (22%), Sucubis (22%), antitelharsic (20%)
rkass	-1.0	JerryYang (42%)	avanderwalde (27%), mattnabi (12%)
vEnhance	-1.0	anser (48%)	willwin4sure (42%)
SpaceAnemone	-1.0	none	none
joelwool	-1.0	none	none
a_small_emu	-1.0	none	none
Feich	-1.0	none	none
Razgovor	-1.0	none	none
robense	-1.0	none	none
kjin	-1.0	none	none
scepheo	-1.0	none	none
Fireheart	-1.22	Valetta6789 (28%), asaelr (27%), micerang (24%), Floriman (23%), Kyle (21%)	Sucubis (16%), kopen (16%), Jake_Stiles (10%), Zamiel (9%), DMoney (9%)
Romain672	-1.25	none	none
pianoblook	-1.27	piper (36%), kimbifille (32%), fishcat (25%), ADrone (21%), TheDaniMan (21%)	will.i.am (13%), DMoney (13%), sephiroth (12%), Kyle (11%), Zamiel (8%)
sephiroth	-1.29	Fey (36%), Pablo- (31%), frosty104 (26%), Nitrate2 (25%), Nitrate (24%)	pianoblook (12%), plus (12%), Lanvin (11%), ChristopheAF (8%), will.i.am (7%)
Kyle	-1.75	Pablo- (27%), Valetta6789 (27%), micerang (25%), timotree (24%), Sucubis (24%)	pianoblook (11%), will.i.am (9%), Razvogor (9%), lotem (8%), newduke (7%)
VerySloppyTwo	-1.75	MangoPie (17%), Lanvin (15%), sephiroth (14%)	Lel0uch (13%), indego (9%), ChristopheAF (5%)
antitelharsic	-2.0	whensepoop (24%), Aluap (21%)	Pablo- (20%), nitawa (20%), XMIL (19%)
catula	-2.0	jack67889 (20%), sephiroth (17%)	Animex52 (14%), Sucubis (9%)
kopen	-2.0	micerang (36%), scharkbite (21%), Dr_Kakashi (18%), IAMJEFF (17%)	Valetta6789 (16%), Fireheart (16%), Zamiel (12%), Kyle (12%), indego (11%)
skyblueexo	-2.0	Krepps57 (13%)	katian (10%)
nukelauncher	-2.0	none	none
Pantheia	-2.0	none	none
ATrueZen	-2.0	none	none
Feich59	-2.0	none	none
kooolant	-2.0	none	none
Onen	-2.0	none	none
forgotmyacct	-2.0	none	none
doeo	-2.0	none	none
JackFrost	-2.0	none	none
ChristopheAF	-2.2	Lel0uch (30%), melwen (25%), rz (24%), frosty104 (20%), Hoodie (15%)	Wittvector (12%), newduke (10%), sephiroth (8%), indego (6%), VerySloppyTwo (5%)
boba	-2.5	aquarelle (17%), HelanaAshryvr (15%)	Lel0uch (11%)
mattnabi	-2.5	none	none
squirrel1988	-2.67	bjnh (16%), HelanaAshryvr (15%), Lanvin (14%)	melwen (10%), Lel0uch (9%)
Jake_Stiles	-2.8	scharkbite (23%), micerang (22%), Valetta6789 (18%), IAMJEFF (18%)	asaelr (16%), Kyle (14%), Zamiel (13%), Fireheart (10%), DMoney (2%)
XMIL	-2.8	none	none
duckmedic	-3.0	wump (12%)	none
IsabeltheCat	-3.0	Lanvin (19%)	newduke (6%), 4head (6%)
RaKXeR	-3.0	Fireheart (19%), Dr_Kakashi (19%), Kakashi (18%)	florrat2 (17%), Libster (15%), Zamiel (12%)
Huxley	-3.0	none	none
DrDrej	-3.0	none	none
Zamiel	-3.3	TimeHoodie (23%), Hoodie (23%), rat (23%), Sucubis (22%), sjdrodge (22%)	Dr_Kakashi (9%), Romain672 (9%), Fireheart (9%), DMoney (9%), pianoblook (8%)
newduke	-3.33	timotree (19%), dobi (18%), Hoodie (14%), TimeHoodie (13%), jeff10 (13%)	MangoPie (7%), Kyle (7%), IsabeltheCat (6%), indego (5%), Lanvin (5%)
