Username	Type	W/L(%)	W(%)	L(%)	W(#)	L(#)	W/L(%, 2p)	W(%, 2p)	L(%, 2p)	W(#, 2p)	L(#, 2p)	W/L(%, 3p)	W(%, 3p+)	L(%, 3p+)	W(#, 3p+)	L(#, 3p+)
ADrone	Totals	29.84	22.98	77.02	441	1478	27.96	21.85	78.15	182	651	31.32	23.85	76.15	259	827
ADrone	Easy	36.55	26.77	73.23	348	952	34.07	25.41	74.59	138	405	38.39	27.74	72.26	210	547
ADrone	Null	29.51	22.78	77.22	36	122	21.28	17.54	82.46	20	94	57.14	36.36	63.64	16	28
ADrone	Single dark	14.47	12.64	87.36	57	394	16.0	13.79	86.21	24	150	13.52	11.91	88.09	33	244
ADrone	Double dark	0.0	0.0	100.0	0	10	0.0	0.0	100.0	0	2	0.0	0.0	100.0	0	8
Aluap	Totals	18.66	15.73	84.27	220	1179	14.46	12.64	87.36	70	484	21.58	17.75	82.25	150	695
Aluap	Easy	21.47	17.67	82.33	205	955	16.42	14.1	85.9	66	402	25.14	20.09	79.91	139	553
Aluap	Null	7.69	7.14	92.86	5	65	2.86	2.78	97.22	1	35	13.33	11.76	88.24	4	30
Aluap	Single dark	6.29	5.92	94.08	10	159	6.38	6.0	94.0	3	47	6.25	5.88	94.12	7	112
Aluap	Double dark	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anax	Totals	20.65	17.11	82.89	64	310	25.81	20.51	79.49	24	93	18.43	15.56	84.44	40	217
Anax	Easy	31.52	23.97	76.03	58	184	25.81	20.51	79.49	24	93	37.36	27.2	72.8	34	91
Anax	Null	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anax	Single dark	4.76	4.55	95.45	6	126	0	0	0	0	0	4.76	4.55	95.45	6	126
Anax	Double dark	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Animex52	Totals	19.76	16.5	83.5	200	1012	19.87	16.57	83.43	30	151	19.74	16.49	83.51	170	861
Animex52	Easy	26.27	20.81	79.19	186	708	30.38	23.3	76.7	24	79	25.76	20.48	79.52	162	629
Animex52	Null	0.0	0.0	100.0	0	19	0.0	0.0	100.0	0	9	0.0	0.0	100.0	0	10
Animex52	Single dark	4.98	4.75	95.25	14	281	9.52	8.7	91.3	6	63	3.67	3.54	96.46	8	218
Animex52	Double dark	0.0	0.0	100.0	0	4	0	0	0	0	0	0.0	0.0	100.0	0	4
anser	Totals	18.43	15.56	84.44	368	1997	13.77	12.1	87.9	210	1525	33.47	25.08	74.92	158	472
anser	Easy	18.94	15.93	84.07	308	1626	13.19	11.65	88.35	165	1251	38.13	27.61	72.39	143	375
anser	Null	24.0	19.35	80.65	12	50	20.83	17.24	82.76	10	48	100.0	50.0	50.0	2	2
anser	Single dark	17.2	14.68	85.32	48	279	18.04	15.28	84.72	35	194	15.29	13.27	86.73	13	85
anser	Double dark	0.0	0.0	100.0	0	42	0.0	0.0	100.0	0	32	0.0	0.0	100.0	0	10
antitelharsic	Totals	20.94	17.32	82.68	356	1700	17.09	14.59	85.41	102	597	23.03	18.72	81.28	254	1103
antitelharsic	Easy	23.6	19.09	80.91	329	1394	18.81	15.83	84.17	95	505	26.32	20.84	79.16	234	889
antitelharsic	Null	17.46	14.86	85.14	11	63	11.9	10.64	89.36	5	42	28.57	22.22	77.78	6	21
antitelharsic	Single dark	6.61	6.2	93.8	16	242	4.08	3.92	96.08	2	49	7.25	6.76	93.24	14	193
antitelharsic	Double dark	0.0	0.0	100.0	0	1	0.0	0.0	100.0	0	1	0	0	0	0	0
aquarelle	Totals	26.22	20.78	79.22	150	572	27.6	21.63	78.37	69	250	25.16	20.1	79.9	81	322
aquarelle	Easy	32.52	24.54	75.46	120	369	40.16	28.65	71.35	49	122	28.74	22.33	77.67	71	247
aquarelle	Null	26.32	20.83	79.17	5	19	23.08	18.75	81.25	3	13	33.33	25.0	75.0	2	6
aquarelle	Single dark	13.89	12.2	87.8	25	180	15.18	13.18	86.82	17	112	11.76	10.53	89.47	8	68
aquarelle	Double dark	0.0	0.0	100.0	0	4	0.0	0.0	100.0	0	3	0.0	0.0	100.0	0	1
asaelr	Totals	27.36	21.49	78.51	1241	4535	28.7	22.3	77.7	283	986	26.99	21.26	78.74	958	3549
