Word	Frequency
!i3...	1
!i4	46
!i4->	1
!i4?	1
!i5	52
!i5->	1
!i5?	1
!i5e	1
!i5e?	2
!i?	1
!i]	4
!ial	1
!ib	6
!ibky	1
!ibr	1
!ibr;	1
!ibw	1
!iby	1
!ic	1
!ic3	1
!ical	1
!ig	5
!igb	2
!igy	2
!ikybr	1
!im	1
!important	3
!io	2
!ioc	1
!iorb	1
!ipg	1
!ir	2
!irg	1
!iy	2
!iyb	1
!iyr	2
!k	48
!k1	12
!k2	9
!k3	15
!k4	6
!k4]	1
!k5	11
!k]	2
!kgiy	1
!kt	6
!ky	1
!kyb;	1
!kyrg	1
!l	16
!l&f5	1
!l1	1
!l2	2
!l3	6
!l4	2
!l5	1
!layered	1
!lc	2
!lct	1
!ldot	1
!lf	1
!li3	1
!licto	1
!lidc	1
!loaded	2
!locked	1
!low	1
!lpc	7
!lr	1
!lto	1
!m	122
!m(?)	1
!m0	1
!m1	33
!m14	1
!m1]	1
!m2	65
!m2..	1
!m2/5	1
!m23	1
!m24	1
!m25	2
!m2;	1
!m2?;	1
!m2[cm]	1
!m2]	2
!m2e	1
!m2m3	1
!m3	72
!m3)	1
!m34	1
!m3?	3
!m3bg4	1
!m3e	1
!m4	33
!m4...	1
!m4e?	1
!m5	54
!m5?	1
!m5e	3
!matching	1
!mb	1
!mbgy	1
!mg	2
!mgy	1
!mig	1
!mk3	1
!mob	1
!mopn	1
!mopnt	1
!mr	1
!mrbg	1
!mw	1
!my	1
!myrb	1
!n	21
!n1	34
!n12	1
!n1;	1
!n2	62
!n2->	1
!n2/c3	2
!n2/have	1
!n25	3
!n3	55
!n3?	1
!n4	29
!n4+5	1
!n5	40
!n5->	1
!n54	1
!n5e	1
!n]	1
!nb	1
!ni	1
!nm5----	1
!nsa	1
!nw	1
!nx	1
!o	56
!o1	20
!o1]	1
!o2	34
!o3	36
!o34	1
!o4	25
!o5	28
!o?	1
!ob	1
!ob2	1
!obg	1
!obr	1
!oc	1
!octia	1
!ogy	2
!oi	1
!om	2
!omni	1
!op	1
!opc	4
!org	1
!ory	1
!ot	1
!otimc	1
!p	258
!p!r	1
!p+2	1
!p/(3/b)	1
!p/2	1
!p1	7
!p2	21
!p3	23
!p3?	1
!p4	12
!p4;	1
!p5	18
!p5->	1
!p5?	1
!p;	1
!p]	3
!pb	5
!pbg	1
!pbgr	1
!pby	1
!pe	3
!pf	1
!pg	7
!pgb	1
!pgm	1
!pgr	1
!pgy	1
!pink	4
!pl	3
!play	7
!playable	319
!playable/g3	1
!playable2	1
!playable?	6
!playable???	2
!playale	1
!playbale	2
!plr	1
!pm2	1
!pmbr	1
!pom	1
!pr	4
!prb	1
!prg	1
!prga	1
!prio	4
!prio?	1
!promised	2
!pry;	2
!pt	1
!ptbr	1
!pti	1
!pull	1
!purple	1
!pvl	1
!pwr	1
!py	6
!pyr	2
!qg	1
!r	524
!r!2!3	1
!r!3	1
!r...	4
!r/1->	1
!r/3	1
!r1	28
!r1;	1
!r1?	1
!r1]	1
!r2	63
!r2!m2	1
!r2!y2	1
!r245	1
!r2?	1
!r2???	1
!r2]	1
!r2g1b2i1l2	5
!r3	110
!r3)	2
!r3+r4	1
!r3?	2
!r3b3p4	1
!r3e	2
!r3y5	1
!r4	85
!r4/playable	1
!r4/u2	1
!r4;	1
!r4e	1
!r4g3b2	1
!r4m3	1
!r4y3g3	1
!r5	115
!r5->	2
!r5;	1
!r5?	2
!r5e	1
!r5y3m4	1
!r>	1
!r?	3
!r]	4
!ra	2
!rb	25
!rb5	1
!rb;	1
!rb]	1
!rbg	3
!rbk	1
!rby	4
!rbyi	1
!rce	1
!re	2
!red	2
!red?	1
!rg	20
!rg]	1
!rgby	2
!rge	1
!rgpy	1
!rgw	3
!ri	3
!rikg	1
!rkb	1
!rkgb	1
!rlp	1
!rlv	1
!rm	9
!rm1	1
!rm3	1
!rmg	1
!ro	1
!rob	1
!rp	8
!rpg	2
!rpy	1
!rt	3
!rw	2
!rwy	1
!ry	27
!ry)	1
!ryb	2
!rybp	1
!ryg	3
!rygp3b1	1
!ryi	2
!ryibg	1
!ryp	2
!ryt	1
!rytg	1
!ryw	1
!s	14
!s15	2
!s4	1
!s5	3
!savable	2
!save	4
!sb	2
!sin	1
!sky	3
!slot4	1
!stale	3
!t	56
!t!3	1
!t/3	1
!t1	2
!t11:	1
!t2	4
!t24	1
!t2e	1
!t3	2
!t36	1
!t4	11
!t5	3
!t?	1
!tb	1
!tc	1
!tcm	1
!tcwo	1
!te	1
!tgm	1
!ti	2
!tl	1
!tmg	1
!tn	2
!to	2
!toc	1
!tp	5
!tr	1
!trash	1
!ts	1
!tvr	3
!ty	3
!u	1
!u1	13
!u2	17
!u25	2
!u2?	2
!u2]	2
!u3	14
!u4	8
!u5	11
!u5---	1
!u5e	4
!useful	2
!utd	1
!v	1
!violet	1
!vlo	1
!vp	1
!w	70
!w1	2
!w2	6
!w3	5
!w4	7
!w5	6
!w;	1
!w?	1
!w]	2
!wb	2
!wg	1
!wgi	1
!wks	1
!wm	1
!wnsm	1
!worth	1
!wr	5
!wy	2
!wyb	1
!wyr	2
!y	450
!y!b	2
!y!g	1
!y!g!o	1
!y!i	1
!y)	3
!y+3	1
!y+5s	1
!y-	1
!y/2	1
!y/4---->	1
!y1	15
!y1...	1
!y14	1
!y15s	1
!y2	51
!y2)	1
!y2g3b3	1
!y3	76
!y3/p2/i2	1
!y34	1
!y3?	2
!y3e	1
!y4	60
!y4->	3
!y4/prioable	1
!y45	1
!y4>	1
!y4e	4
!y5	60
!y5?	1
!y5e	2
!y?	7
!y]	6
!yb	16
!yb1	1
!ybg	2
!ybi	1
!ybm	2
!ybp	1
!ybpg	1
!ybr	2
!ybrg	1
!ye	9
!yg	22
!yg2	1
!ygb	1
!ygbm	1
!ygk	1
!ygr	1
!yi	1
!yk	1
!ykb	1
!ykrg	1
!ym	2
!ymg	1
!yo	3
!yp	3
!ypg	1
!ypm	1
!ypr	1
!yr	14
!yrb	2
!yrg	3
!yrgb	1
!yrgw	1
!yrom	1
!yt	2
!yw	1
"""""""fix"""""""	1
"""""""oh"""	1
"""""""w2""""?"""	1
#	15
#01	1
#02	1
#1	15
#11	1
#13	1
#1?	1
#1??	1
#2	13
#2?	2
#3	6
#3's	1
#31	1
#3?	1
#4	4
#5	1
#?	2
#abolish5stalls	9
#cursed	1
#cursedrun	1
#gonebutnotforgotten	1
#hope	1
#i	2
#illegal	1
#jokez	1
#lessgo	1
#magic	1
#magicpiper	1
#mellow	2
#mellow!	1
#neverforget	1
#nolie	1
#noregrets	1
#playlikeachampion	1
#prankz	6
#pushme	1
#ripi3	1
#s4	1
#save4s	1
#si	2
#spookz	1
#threeplayerproblems	1
#toolucky	1
#welovedarks	1
#worth	1
#worthit	2
#yolo	6
#yoloblindplay	1
$20	1
$5	1
%	5
%^$&@*	1
&	671
&&	1
&--->i5	5
&4	1
&nbsp;[p1]	1
'	1
'1'	1
'1's	1
'2'	5
'3'	6
'3'?)	1
'3s'	1
'4'	3
'5'	2
';;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;	1
'ambig'?	1
'annoyed	1
'b3'	1
'blocked'	1
'blue'	1
'bluff'	1
'burn'	1
'certain	1
'cleaner'	1
'cm'	1
'critical	1
'cya	1
'd	1
'd've	1
'delayed'	1
'double	1
'early'	1
'f	2
'f'	3
'figured	1
'finesse'	1
'fix	1
'fix'	3
'fix'?	2
'fixed'	5
'flush'	1
'forcing'	1
'g4'	1
'get'	1
'good	1
'green'	1
'green'?	1
'i	1
'i4'?	1
'just	1
'known	1
'known'	12
'knows'	1
'literally	1
'loaded'	1
'locked	1
'maybe	1
'necessary	1
'negative'	1
'now'	1
'o'7	1
'oh.	1
'out	1
'play'	1
'pre-loaded'	1
'prio'	1
'prioing'	1
'priority	1
'promised'	1
'prompt'	1
'prompt'?	1
'prompted'	1
'purple'	4
'red'	3
'right'	1
's	1
'safety'	1
'save'	2
'seen'?	1
'stacked	1
'stale'	1
'stomp'	1
'stomp'/fix	1
'stop'	1
'supposed'	1
'suspicious'	1
'tells'	1
'tempo	1
'the	1
'trash'	1
'undo'	1
'unique'	1
'work'	1
'worth'	1
'y1'	1
'y3'	1
(	1306
(!3	6
(!5	4
(!5)	1
(!5cm)	1
(!a:	2
(!b	1
(!b3	1
(!g	1
(!k1	1
(!m3	1
(!p)3/b	1
(!p2	1
(!rbin5)	2
(!u2)	1
(!y	1
(!y)	1
(!y4	1
(&	2
(&o4?)	1
(&r4?	1
((	4
(((	9
((((	8
(((((	2
((((((	1
(((((((	1
((5	3
((m4))	1
((r	1
((sigh	1
((y	1
(*and*	1
(+	2
(+3?)	1
(+3pp)	1
(+b2	1
(+i2	1
(+l4	1
(...	6
(/crit)	1
(/i2?)	1
(/i3?)	1
(1	4
(1)	11
(1/2	1
(10)	6
(10:	1
(11)	11
(12)	2
(13)	10
(134)	1
(14)	6
(15)	13
(15:	1
(16)	6
(17)	6
(18)	4
(18)?	3
(19)	14
(1?)	3
(2	11
(2)	5
(2)3	1
(2/3?)	1
(2/4)	2
(2/5?)	1
(20)	3
(21)	8
(22)	5
(22)?	1
(23)	3
(24)	10
(25)	7
(25)?	1
(26)	2
(26)?	3
(27)	8
(28)	6
(29)	10
(2?)	5
(2x)	1
(3	8
(3)	10
(3)45	3
(3/5	1
(30)	5
(31)	2
(32)	13
(33)	11
(34)	3
(35)	6
(36)	3
(37)	1
(3?)	3
(3bluff)	1
(4	18
(4)	5
(45)	1
(4:	1
(4?)	4
(4charm)	1
(4db)	1
(4y/g)	1
(5	15
(5%	1
(5)	12
(50%	1
(5?)	1
(5ce	1
(5dp)	1
(6?)	1
(7	1
(7)	15
(7?)	1
(8	1
(8)	3
(8:	1
(8?)	1
(9)	5
(95%	1
(99%	2
(99.99%	1
(:	2
(:o)	3
(:thinking_emote:)	1
(<<<	1
(=pw?)	1
(>	1
(?	2
(?)	9
(??)	1
([b1]	1
(^)>	8
(a	3
(a)	2
(a:	3
(actually	5
(adrone	1
(after	23
(again)	1
(aggro	1
(aka	1
(aka.	1
(almost	5
(already	1
(also	11
(although	3
(amb)	1
(ambig!)	1
(ambig)	1
(and	20
(angel	1
(annoying	1
(anym	1
(are	1
(arguably	1
(artificial	1
(as	3
(aside	3
(assumes	1
(assuming	5
(assumption	1
(at	1
(attempted	1
(b	4
(b)	5
(b1	4
(b1)	3
(b2	4
(b2)	2
(b2...	1
(b2??)	1
(b3	5
(b3)	5
(b3?)	3
(b3??)	1
(b4	7
(b4)	5
(b5	3
(b5)	1
(b5?)	1
(b5??)	1
(b:	1
(bad	1
(basically	1
(bc	3
(because	7
(best	1
(bet	1
(bg4)	1
(black	1
(bleh	2
(blue	1
(blue)	1
(bluff	1
(bluff)	3
(bluffed)	6
(boldly)	2
(boo)	1
(bravely)	1
(bubblegum)	1
(bust)	1
(but	88
(by	6
(c	2
(can	13
(can't	7
(can/should	1
(cannot	1
(case	1
(certain)	4
(chop	3
(cl)	1
(clandestine	1
(clear	1
(clue	2
(clued)	1
(cm'd)	1
(cm)	2
(color	1
(confused)	1
(connecting)	1
(context	1
(context:	1
(contextually	1
(could	17
(couldn't	1
(crap)	1
(critical	2
(cry)	4
(crying	1
(crying)	1
(currently	1
(dda)	2
(declined	3
(definitely)	1
(delay	1
(demonstrated	1
(demonstrated)	1
(depending	3
(despite	1
(desynced)	3
(determinable	1
(did	1
(didn't	4
(digging	1
(disallowed	1
(discard	2
(discard)	1
(dmoney	1
(do	1
(does	2
(doesn't	1
(double	1
(dupe)	1
(e.g.	4
(e/)sn	1
(early	1
(early)	2
(echo	1
(edited	1
(either	4
(elim	1
(elim)	2
(else	4
(en)	1
(en??)	1
(ens)	1
(esp	1
(especially	3
(even	5
(eventually)	2
(everyone	1
(everything	1
(evidence:	1
(exactly	8
(except	7
(excluding	1
(extra	1
(extremely	1
(f)	2
(f?)	1
(fair)	1
(fake	2
(fake?)	1
(false)	2
(fill-in)	1
(filthy	1
(final	1
(fix	1
(fix)	2
(fixme??)	1
(focus	1
(focus)	1
(forgot	2
(fr)	1
(fringe	1
(from	17
(future-pianoblook:	1
(g	4
(g)	3
(g)b	1
(g1)	6
(g1?)	1
(g2	3
(g2)	5
(g25	1
(g2e)	2
(g3	3
(g3)	5
(g35?)	1
(g4	8
(g4)	2
(g4b4r1	1
(g5	1
(g5)	2
(g?)	1
(gave	1
(get	1
(gets	1
(getting	1
(given	1
(giving	1
(glad	1
(global?)	1
(going	1
(good	1
(gotta	2
(green	1
(green/blue)	1
(gross)	1
(guess	3
(had	1
(hard	4
(has	1
(he	3
(heck)	1
(hence	1
(here)	1
(hesitation)	1
(hidden	1
(hidden)	4
(hidden?)	2
(highly	1
(hooray)	1
(hope	1
(hopefully	12
(hopefully)	11
(hoping	1
(how	4
(how?)	1
(i	41
(i'd	1
(i'm	2
(i)	2
(i.e.	3
(i2	4
(i2)	1
(i3	1
(i3)	1
(i3?)	1
(i4?)	4
(i4??)	1
(ie	1
(ie.	1
(if	25
(ignoring	1
(illegal)	3
(impossible)	1
(in	2
(instead	1
(is	2
(it	7
(it's	4
(its	1
(jk)	1
(just	3
(k	1
(k1/i3)	1
(k2	1
(k3	2
(kakashi	1
(kek	1
(kevin)	1
(kg4/5)	1
(kimbi	2
(kind	1
(kinda	3
(known	18
(known)	3
(known?)	1
(kt)	2
(kyle	2
(l)ti	1
(lanvin	2
(layered	1
(layered)?	1
(less	3
(letical	1
(lets	1
(letting	1
(level	1
(lhs)	2
(libster	1
(lie)	1
(likely	19
(likely)	1
(locked	1
(locked)	2
(lol	6
(lol)	16
(looking	1
(looks	7
(lotem	2
(lpc)	1
(lucky!)	1
(lvl	1
(lying	1
(m)	1
(m/n5)	1
(m1	1
(m1)	3
(m2	6
(m2)	6
(m2?)	1
(m3	2
(m3)	4
(m3/b2)	1
(m345	1
(m3?)	1
(m3y4)	1
(m4)	6
(m4?)	1
(m4??)	1
(m5	3
(m5)	1
(maaaaybe	1
(maaaybe	1
(matching	1
(matching)	1
(maybe	43
(maybe)	1
(me?)	1
(mel	1
(michael	1
(might	11
(misranked)	1
(missed)	2
(missed?	1
(mistake	1
(mistake)	3
(monkas	1
(more	1
(more)	1
(most	3
(mostly	1
(much	1
(mud25)	1
(multiple	1
(murphy	1
(must	4
(my	3
(n23	1
(n3	1
(n4	3
(n4)	1
(n4++)	1
(n5)	1
(neat!)	1
(necessary)	1
(neg	2
(never	3
(nice	1
(nice)	3
(nitawa	1
(no	47
(non-obvious)	4
(not	67
(note	1
(noted	1
(nothing	1
(noticed	1
(now	3
(now)	1
(null	1
(o	1
(o)	1
(o1)	2
(o2	1
(o2?)	1
(o4	1
(o4)	2
(o4/l5?)	1
(o45)	1
(obv	1
(obv)	2
(obviously	1
(occupied)	1
(of	1
(off)	2
(ok	3
(once	3
(only	2
(oop)	1
(oops	1
(oops)	5
(opc)	1
(or	105
(other	1
(otherwise	14
(overloaded)	1
(p	4
(p)	3
(p)y?	1
(p1)	1
(p2	1
(p2)	4
(p3)	1
(p34)	1
(p3?	1
(p3?)	1
(p4	2
(p4)	2
(p4?)	2
(p4b4)	1
(p??)	1
(pass-back?)	1
(perhaps	1
(phew)	1
(piano	3
(play2	2
(play5	1
(playable	1
(playable)	1
(played	5
(playing	2
(please	1
(plus	2
(possible	4
(possibly	3
(potentially	3
(potentialy	1
(pp)	1
(pr3)	1
(presumedly?)	1
(pretty	3
(prio	4
(prio)	2
(priod)	1
(priority)	2
(prob	17
(prob)	1
(probably	61
(probably)	2
(probs	2
(prolly	1
(promised	1
(ptd)	1
(purple	2
(q:	1
(r	2
(r)	3
(r)g	1
(r)gy	1
(r1)	4
(r2	2
(r2)	5
(r2++)	1
(r2/b2/p2/n2?)	1
(r2/y1)	1
(r23)	1
(r2?)	1
(r3	2
(r3)	5
(r3/p3/p4)	1
(r34)	2
(r4	3
(r4)	4
(r4?)	2
(r4b4)	1
(r4y5g45b345k5m34)	1
(r5)	3
(r5)...	1
(r5y1b4w1?)	1
(rank	1
(rbp)	2
(reason:	1
(red	1
(red)	1
(retroactively	1
(rgbp)	1
(richard	1
(rip)	1
(risk	1
(rmi)	1
(roar)	1
(rpb)	1
(rs15)	1
(rs2)	1
(s5	1
(sad	1
(sadly)	1
(same	2
(save	2
(save)	3
(saved	1
(schark	1
(scream)	1
(sd)	1
(seemed	1
(self	1
(self)double	1
(self-cb	1
(setting	1
(shocker!)	1
(should	20
(should)	1
(shouldn't	3
(shouldnt	1
(sin	1
(since	17
(skip	1
(slides	1
(slight	1
(slot	1
(so	3
(soft	2
(soft)	1
(some	2
(something	1
(sorry	4
(sorry)	3
(speedup	1
(spoilers	1
(stale	1
(stephen	1
(super	2
(sure	1
(surely	2
(suuuuuper	2
(sweet	1
(swineherd	1
(t)	1
(t10	1
(t10)	2
(t11)	1
(t12)	1
(t13	2
(t13)	1
(t14	1
(t16	1
(t17	1
(t17)	2
(t19)	1
(t2)	2
(t2)?	1
(t20:	1
(t22	1
(t23)	1
(t27)	1
(t28	1
(t30)	1
(t34:	1
(t35)???	1
(t37)	1
(t4)	2
(t5)	1
(t50)	1
(t5?)	1
(tbf	1
(tccm)	2
(tcm)	1
(team	1
(technically	5
(tempo)	1
(terrible	2
(that	3
(that's	2
(the	4
(there	1
(they	1
(think	1
(thinking)	1
(thinks	2
(this	5
(though	4
(thought	1
(time	1
(time)	1
(tn)	1
(to	3
(too	1
(totally	1
(trash)	1
(triggered	1
(trolled)	1
(trust	1
(try	1
(tt	1
(turn	2
(turnabout)	1
(typo)	1
(u2	1
(ubtccme	1
(ugh)	2
(unfortunate	1
(unfortunately)	7
(unless	21
(unlikely	3
(unlikely)	1
(unlikely)?	1
(unsure	1
(using	1
(utd)	2
(utpf)	1
(v	1
(valid	1
(very	6
(w!)	1
(w/	1
(w1	1
(w1)	1
(w1/m1).	1
(waiting	1
(waits	1
(wanted	1
(was	5
(was)	1
(watch	1
(we	1
(we're	1
(weak	2
(weak)	4
(weirdly)	1
(well	2
(what	2
(what?)	1
(when	1
(when??)	1
(which	4
(whoops)	2
(why	20
(why?)	2
(will	2
(with	3
(wonder	1
(woops)	1
(would	5
(wp)	1
(wrong	2
(x)	1
(y	1
(y)bi	1
(y1	1
(y2	2
(y2)	4
(y23	1
(y2?)	1
(y3	2
(y3!)	1
(y3)	6
(y3??	1
(y4	1
(y4)	4
(y4)r45g5b45	1
(y4+++)	1
(y4?)	1
(y4p3t3)	1
(y5)	1
(y5)/y3?	1
(y5r2	1
(yellow	1
(yet)	1
(ygb	1
(yolo)	1
(yonos?)	1
(you	2
(っ	1
)	71
))	4
);	1
)>	1
*	48
**	1
**cannot**	1
**could	1
**note	1
**strongly**	1
*aborting	1
*actually*	4
*almost*	1
*also*	5
*always*	1
*am*	2
*amazing*	1
*and*	6
*any*	2
*anything*	1
*b	1
*b1?	1
*b3	1
*because	2
*because*	1
*but*	2
*can't*	1
*can*	1
*clap*	1
*could*	9
*couldn't*	1
*definitely*	2
*did*	1
*didn't*	3
*do*	3
*does	1
*don't*	2
*facepalm*	2
*fairly*	1
*fix*	1
*fixing*	1
*god*	1
*grumble	1
*grumble*	1
*has*	1
*hasn't*	1
*have*	2
*hope*	1
*hopefully*	3
*i	1
*i'm*	2
*i*	2
*if*	4
*immediately*	1
*in	1
*incredibly*	1
*is	1
*is*	1
*isn't*	2
*just*	1
*know*	1
*known*	1
*least*	1
*less*	1
*likely*	1
*look*	1
*looks*	1
*lot*	2
*maaaybe*	1
*maaybe*	1
*maybe	1
*maybe*	20
*must*	1
*my*	1
*needs	1
*no	1
*no*	3
*not	1
*not*	23
*now*	1
*oh	1
*or*	7
*other*	1
*perfect*	1
*phew*	14
*potential*	1
*probably*	13
*promised*	1
*real*	1
*really*	7
*right*	1
*second*	1
*seem*	1
*seemed*	1
*seems*	2
*should*	3
*sigh*	1
*so*	1
*some*	1
*some*where	1
*something*	1
*sort*	1
*still*	1
*stop*	1
*subtle	1
*super*	1
*technically*	1
*that*	1
*the	1
*think	1
*think*	3
*this*	15
*thought*	1
*throw	2
*trying	1
*unless*	1
*ver*	1
*very	1
*very*	7
*was*	5
*wasn't*	1
*with	2
+	1306
+1	11
+1?	1
+2	5
+2?	1
+2??????	1
+3	3
+3?	1
+4	4
+7	2
+8	3
+9?	1
+g2	1
+play1	1
+r3	1
+tempo	1
-(g/1)	1
--	33
--'	1
---	27
----	2
------	1
-------	2
--------------->	1
----------->g4	2
--------->	1
-------->	1
------->	4
------->b3	5
------->r5	4
------>	11
------>b2	3
------>g2	4
------>r2	2
------>y2	6
------>y4	2
------a4	4
----->	54
----->b1	3
----->b2	4
----->b3	3
----->g3	3
----->i2	4
----->i3	4
----->m2	2
----->m3	3
----->m4	4
----->n2	1
----->p1	3
----->p2	6
----->r2	4
----->t4	3
----->utp	1
----->w1	3
----->y2	2
----->y3	1
----->y3?	4
----->y4	5
----->y5	5
-----?	1
-----p2	3
-----r3	6
-----r4	2
----.	1
---->	392
---->)	2
---->b1	16
---->b2	8
---->b3	6
---->b4	3
---->b5	4
---->check	1
---->g1	5
---->g2	20
---->g3	5
---->g4	11
---->g5	3
---->i1	4
---->i2	1
---->i3	2
---->i4	4
---->i4i5	4
---->i5	2
---->ii4	4
---->k2	2
---->m2	3
---->m3	4
---->m4	3
---->m5	4
---->n1	2
---->n5	3
---->o2	2
---->p1	3
---->p2	6
---->p3	4
---->p5	5
---->r1	3
---->r2	9
---->r2\\	3
---->r3	17
---->r4	3
---->r5	8
---->t2	3
---->t4	6
---->t5	4
---->w1	3
---->w2	3
---->w4	3
---->y1	5
---->y2	12
---->y3	3
---->y4	14
---->y5	5
----b3	5
----b4	4
----g4	1
----g4-->	2
----g5	10
----m5	3
----p2	2
----r4	4
----r5	3
----y2	1
----y3	2
---<m2	1
--->	1526
--->)	4
--->;	1
--->?	1
--->a3	1
--->b1	12
--->b2	7
--->b3	2
--->b4	17
--->b5	3
--->c4	4
--->g1	9
--->g2	13
--->g3	5
--->g4	8
--->g5	12
--->i1	9
--->i2	10
--->i3	3
--->i4	12
--->i5	4
--->k2	2
--->k4	3
--->l2	4
--->m2	4
--->m3	4
--->m5	14
--->n2	2
--->o1	2
--->o2	2
--->o3	3
--->p2	11
--->p3	3
--->p4	1
--->r1	3
--->r2	17
--->r3	13
--->r4	11
--->t1	3
--->t2	3
--->u2	3
--->w2	7
--->w3	1
--->w5	7
--->y1	24
--->y2	15
--->y3	23
--->y4	11
---?	1
---b2	2
---g2	6
---g3	3
---g4	1
---o4	2
---r4	4
---r5	2
---y2	1
---y2?	2
---y4	4
-->	5415
-->)	1
-->>w4	2
-->?	9
